Month,AA,Alaska,JetBlue,Delta,Hawaii,Spirit,UA
1,6.955843432232900,-0.3208881453881830,7.347280539009860,-2.0438469753125200,3.5126404494382000,11.39805375347540,6.352728635280890
2,7.530204410973640,-0.7829231792484200,18.657672849915700,5.6147452175385100,6.029967088169060,16.47446563419940,7.260661890139880
3,6.693586858685870,-0.5447309101155260,10.74131747400920,2.077965363842900,3.4683825865904000,10.039118219148500,4.892211518275760
4,4.931777541365810,-3.0090025207058000,2.780105432042170,0.08334260598642480,0.011021549596973200,8.766224110462030,4.376092010277740
5,5.173878150008030,-1.7163984936665500,-0.7090193271295630,0.14933329752521100,0.8264256777812400,22.39734693877550,6.827694692686490
6,8.191016646031090,-0.22062062062062100,5.047154544637240,4.419593538301200,0.8827855320426230,35.56150134048260,16.932662867359500
7,3.870440173589590,0.3774076663912020,5.841453657304080,1.2048615430547600,2.0015859284890400,14.352381885904700,10.262550955900000
8,3.193906591451950,2.5038986962759700,9.280949544797070,0.6531143476913540,7.448029197080290,20.51901828493200,5.014040631049600
9,-1.4327324113708700,-1.8137998875772900,3.5391536154615100,-3.703377345378740,3.696915292965560,8.000101337657070,-1.794264698812560
10,-0.5809298123878980,-2.9936173164978500,3.6767871929340300,-5.011516340215750,0.4670735624799230,6.810736135780540,-2.4565417286977800
11,0.7726303123119840,-1.9165164732175000,1.4182991365704200,-3.1754137902353800,-2.7198935462408500,7.543880597014930,0.2810635476844400
12,4.149684328298570,-1.846680642907060,13.8392895633056,2.5045953790120600,-1.7064748201438800,12.733123269359300,7.0120787705033600